
[2022-05-10 18:50:01,628]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-10 19:10:39,167]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 19:10:51,490]:[INFO]:[lianxi.py]:[输入用户名:26645456@qq.com]
[2022-05-10 19:10:51,551]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 19:10:51,614]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 19:10:56,658]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 19:11:04,644]:[INFO]:[lianxi.py]:[注册成功]
[2022-05-10 19:11:05,411]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 19:11:15,696]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-10 19:11:20,103]:[INFO]:[lianxi.py]:[退出登录]
[2022-05-10 19:11:23,170]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-10 19:14:40,238]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-10 19:14:44,701]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 19:14:58,564]:[INFO]:[lianxi.py]:[输入用户名:26645456@qq.com]
[2022-05-10 19:14:58,620]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 19:14:58,683]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 19:15:03,725]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 19:15:12,617]:[INFO]:[lianxi.py]:[注册成功]
[2022-05-10 19:15:13,454]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 19:15:23,525]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-10 19:15:30,695]:[INFO]:[lianxi.py]:[退出登录]
[2022-05-10 19:15:30,754]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-10 19:17:06,975]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-10 19:17:11,421]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 19:17:23,726]:[INFO]:[lianxi.py]:[输入用户名:26645456@qq.com]
[2022-05-10 19:17:23,784]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 19:17:23,843]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 19:17:28,897]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 19:17:36,922]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-10 19:17:37,813]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 19:17:50,096]:[INFO]:[lianxi.py]:[输入用户名:5599667@qq.com]
[2022-05-10 19:17:50,154]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 19:17:50,212]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 19:17:55,251]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 19:18:02,377]:[INFO]:[lianxi.py]:[注册成功]
[2022-05-10 19:18:11,692]:[INFO]:[lianxi.py]:[退出登录]
[2022-05-10 19:18:11,751]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-14 18:07:43,324]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:08:44,381]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-14 18:09:01,669]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-14 18:09:01,779]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-14 18:18:16,353]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:20:16,939]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-14 18:20:34,850]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-14 18:20:34,914]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-14 18:20:59,757]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:22:43,472]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-14 18:23:02,908]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-14 18:23:02,965]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-14 18:27:54,542]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:28:42,458]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-14 18:30:53,692]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-14 18:30:53,760]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-14 18:31:10,925]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:33:20,586]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-14 18:33:40,052]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-14 18:33:40,121]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-14 18:43:04,658]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:47:12,895]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-14 18:47:22,876]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-14 18:47:42,110]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-14 18:47:42,152]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-16 09:50:59,159]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-16 09:51:56,071]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-16 09:52:15,325]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-16 09:52:15,408]:[INFO]:[lianxi.py]:[关闭浏览器]
